Filename,Resolution,AvgTime,Rects,Tris,Total
img_00.png,10000,0.000931,3,1,4
img_01.png,10000,0.000276,1,3,4
img_02.png,10000,0.000303,5,3,8
img_03.png,10000,0.000308,3,5,8
img_04.png,10000,0.000533,8,8,16
img_05.png,10000,0.000641,8,8,16
img_06.png,10000,0.001211,14,18,32
img_07.png,10000,0.001245,14,18,32
img_08.png,10000,0.003453,27,37,64
img_09.png,10000,0.003145,28,36,64
img_10.png,20000,0.000198,1,3,4
img_11.png,20000,0.000220,3,5,8
img_12.png,20000,0.000323,5,11,16
img_13.png,20000,0.000841,9,23,32
img_14.png,20000,0.003983,23,41,64
img_15.png,20000,0.000225,1,3,4
img_16.png,20000,0.000169,3,5,8
img_17.png,20000,0.001022,7,9,16
img_18.png,20000,0.001321,10,22,32
img_19.png,20000,0.003732,24,40,64
img_20.png,40000,0.001900,0,4,4
img_21.png,40000,0.000871,2,2,4
img_22.png,40000,0.000387,4,4,8
img_23.png,40000,0.000442,2,6,8
img_24.png,40000,0.000580,6,10,16
img_25.png,40000,0.000548,5,11,16
img_26.png,40000,0.001921,17,15,32
img_27.png,40000,0.002350,12,20,32
img_28.png,40000,0.010574,26,38,64
img_29.png,40000,0.008996,26,38,64
img_30.png,80000,0.000521,2,2,4
img_31.png,80000,0.000568,1,7,8
img_32.png,80000,0.000698,5,11,16
img_33.png,80000,0.001600,14,18,32
img_34.png,80000,0.009005,24,40,64
img_35.png,80000,0.000487,1,3,4
img_36.png,80000,0.000517,0,8,8
img_37.png,80000,0.000695,9,7,16
img_38.png,80000,0.001618,13,19,32
img_39.png,80000,0.008333,26,38,64
img_40.png,160000,0.001467,1,3,4
img_41.png,160000,0.001494,1,3,4
img_42.png,160000,0.001424,1,7,8
img_43.png,160000,0.001393,5,3,8
img_44.png,160000,0.002063,6,10,16
img_45.png,160000,0.001890,5,11,16
img_46.png,160000,0.005496,16,16,32
img_47.png,160000,0.005647,19,13,32
img_48.png,160000,0.046723,33,31,64
img_49.png,160000,0.041789,16,48,64
img_50.png,320000,0.002635,3,1,4
img_51.png,320000,0.002934,4,4,8
img_52.png,320000,0.003583,4,12,16
img_53.png,320000,0.006751,14,18,32
img_54.png,320000,0.048940,23,41,64
img_55.png,320000,0.002572,0,4,4
img_56.png,320000,0.002060,3,5,8
img_57.png,320000,0.002578,6,10,16
img_58.png,320000,0.006651,14,18,32
img_59.png,320000,0.048523,19,45,64
img_60.png,640000,0.004044,1,3,4
img_61.png,640000,0.004058,2,2,4
img_62.png,640000,0.004618,5,3,8
img_63.png,640000,0.004676,2,6,8
img_64.png,640000,0.006256,5,11,16
img_65.png,640000,0.008316,5,11,16
img_66.png,640000,0.032122,13,19,32
img_67.png,640000,0.025821,10,22,32
img_68.png,640000,0.224967,28,36,64
img_69.png,640000,0.241631,30,34,64
